Ref,Slow_year1,Fast_year1,Rapid_year1,Slow_year2,Fast_year2,Rapid_year2,Slow_year3,Fast_year3,Rapid_year3,Slow_year4,Fast_year4,Rapid_year4
201,0,0,0,0,1,0,0,1,1,0,1,1
202,1,0,0,1,0,1,1,0,1,1,0,1
203,1,0,1,1,0,1,1,0,1,1,0,1
205,0,1,0,0,1,0,0,1,0,0,1,0
206,0,0,0,0,0,0,1,0,0,1,0,0
213,0,1,1,0,1,1,0,2,1,0,2,1
214,0,3,3,0,3,3,0,3,3,0,3,3
215,0,1,1,0,1,1,0,1,1,0,1,1
216,0,0,0,0,1,0,0,1,0,0,1,0
217,1,0,0,1,0,0,1,0,1,1,0,1
228,2,1,1,2,1,1,2,1,1,2,1,1
229,1,1,1,1,1,1,1,2,1,1,2,1
230,0,1,0,0,1,0,1,1,1,1,1,1
233,0,1,0,0,1,0,1,1,0,1,1,0
234,0,0,0,1,0,0,1,0,0,1,0,0
242,0,1,0,0,1,0,0,1,0,0,1,0
246,1,0,0,1,0,0,1,0,0,1,0,0
247,0,0,0,1,0,0,1,0,0,1,0,0
248,0,0,0,1,0,0,1,0,0,1,0,0
249,0,0,0,0,1,0,0,1,0,0,1,0
263,1,0,1,1,0,1,1,0,1,1,0,1
272,1,0,0,1,0,0,1,0,0,1,0,0
274,1,0,0,1,0,0,1,0,0,1,0,0
275,1,0,0,1,0,0,1,0,0,1,0,0
286,1,0,0,1,0,0,1,0,0,1,0,0
287,0,1,0,0,1,0,0,1,0,0,1,0
288,0,1,0,0,1,0,0,1,0,0,1,0
290,1,0,0,1,0,0,1,0,0,1,0,0
291,1,0,0,1,0,0,1,0,0,1,0,0
299,0,1,0,0,1,0,0,1,0,0,1,0
300,1,0,0,1,0,0,1,0,0,1,0,0
301,1,0,0,1,0,0,1,0,0,1,0,0
304,2,0,0,2,0,0,2,0,0,2,0,0
316,0,1,0,0,1,0,0,1,0,0,1,0
327,0,0,0,1,0,0,1,0,0,1,0,0
328,0,1,0,0,1,0,1,1,0,1,1,0
331,1,0,0,1,0,0,1,0,0,1,0,0
342,0,0,0,1,0,0,1,0,0,1,0,0
343,0,1,0,0,1,0,0,1,1,0,1,1
345,0,0,0,0,0,0,0,0,0,0,1,0
355,0,1,0,0,1,1,0,2,1,0,2,1
356,0,0,0,0,0,1,0,0,1,0,0,1
369,2,2,2,2,2,2,2,2,2,4,3,2
382,0,0,0,0,1,0,0,1,0,0,1,0
385,0,0,0,0,0,0,0,0,0,0,0,0
397,0,0,0,1,0,0,1,0,0,1,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,0,0,0,0,0,0,0,0
412,1,0,0,1,0,0,1,0,0,1,0,0
